Date,RBA Interest Rate,Inflation,,,
8/06/11,0.0475,0.035
7/06/11,0.0475,0.035
6/06/11,0.0475,0.035
3/06/11,0.0475,0.035
2/06/11,0.0475,0.035
1/06/11,0.0475,0.035
31/05/11,0.0475,0.033
30/05/11,0.0475,0.033
27/05/11,0.0475,0.033
26/05/11,0.0475,0.033
25/05/11,0.0475,0.033
24/05/11,0.0475,0.033
23/05/11,0.0475,0.033
20/05/11,0.0475,0.033
19/05/11,0.0475,0.033
18/05/11,0.0475,0.033
17/05/11,0.0475,0.033
16/05/11,0.0475,0.033
13/05/11,0.0475,0.033
12/05/11,0.0475,0.033
11/05/11,0.0475,0.033
10/05/11,0.0475,0.033
9/05/11,0.0475,0.033
6/05/11,0.0475,0.033
5/05/11,0.0475,0.033
4/05/11,0.0475,0.033
3/05/11,0.0475,0.033
2/05/11,0.0475,0.033
29/04/11,0.0475,0.033
28/04/11,0.0475,0.033
27/04/11,0.0475,0.033
21/04/11,0.0475,0.033
20/04/11,0.0475,0.033
19/04/11,0.0475,0.033
18/04/11,0.0475,0.033
15/04/11,0.0475,0.033
14/04/11,0.0475,0.033
13/04/11,0.0475,0.033
12/04/11,0.0475,0.033
11/04/11,0.0475,0.033
8/04/11,0.0475,0.033
7/04/11,0.0475,0.033
6/04/11,0.0475,0.033
5/04/11,0.0475,0.033
4/04/11,0.0475,0.033
1/04/11,0.0475,0.033
31/03/11,0.0475,0.033
30/03/11,0.0475,0.033
29/03/11,0.0475,0.033
28/03/11,0.0475,0.033
25/03/11,0.0475,0.033
24/03/11,0.0475,0.033
23/03/11,0.0475,0.033
22/03/11,0.0475,0.033
21/03/11,0.0475,0.033
18/03/11,0.0475,0.033
17/03/11,0.0475,0.033
16/03/11,0.0475,0.033
15/03/11,0.0475,0.033
14/03/11,0.0475,0.033
11/03/11,0.0475,0.033
10/03/11,0.0475,0.033
9/03/11,0.0475,0.033
8/03/11,0.0475,0.033
7/03/11,0.0475,0.033
4/03/11,0.0475,0.033
3/03/11,0.0475,0.033
2/03/11,0.0475,0.033
